HOS01-021	be31a30866a54287a6966e6e8028ef53	47QMCA23R0011	https://sam.gov/workspace/contract/opp/be31a30866a54287a6966e6e8028ef53/view	Solicitation	2023-01-06	2024-09-30	GENERAL SERVICES ADMINISTRATION	FEDERAL ACQUISITION SERVICE	GSA/FAS AUTOMOTIVE CENTER	2024 Outside the Continental United States (OCONUS) Vehicle Program	SPECIAL NOTICE ON STATUS OF SOLICITATION (October 29, 2024): This solicitation remains open beyond the initial deadline for Standard Item 888E ONLY. Item 888E is an open line item that allows an offeror to propose any commercially-made motor vehicle incorporating emerging technology, for which there is an existing Federal Standard vehicle category and which conforms to all GSA standards and regulations that pertain to the Government�s motor vehicle requirements. Please see attached Special Notice for more information. The General Services Administration's (GSA) Automotive Acquisition Support Center invites firms interested in submitting offers under the Government's solicitation for the 202…	336110	2310		Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	Mixed controls	Washington, DC, 20405, USA	Washington, DC, 20405, USA	Direct notice/resource lookup required	Yes — 33 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	Probable mandatory-source conflict	Exact product/NSN review required	Vehicle, weapons, aircraft, training-system, or defense-platform product	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	0	0	Strikeout	Gate 5 — mandatory source	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 33 version(s): e24f3520ea1544e8a7bc4720a4bb87b8; 0cb1a1c3307e462e9329322011c8b4ac; 73895aa6632c4064b8f08825a64209b0; 9cb94560376e4ceda28aa518395cf2f7; 3a59d7c65ede4f94b530232df9c08f13; 963c01fd0d26474fb44a3a49d225754c; 55356cbe8db64086ab81f8e1bd502e51;…	64965
HOS01-022	a0f5b79e1e9d481aaae324eea700df7e	N0010422QFF04	https://sam.gov/workspace/contract/opp/a0f5b79e1e9d481aaae324eea700df7e/view	Solicitation	2022-06-16	2023-03-10	DEPT OF DEFENSE	DEPT OF THE NAVY	NAVSUP WEAPON SYSTEMS SUPPORT MECH	CYLINDER ASSEMBLY,A	CONTACT INFORMATION|4|x|x|x|x| ITEM UNIQUE IDENTIFICATION AND VALUATION (MAR 2022)|19|||||||||||||||||||| INSPECTION OF SUPPLIES--FIXED-PRICE (AUG 1996)|2||| INSPECTION AND ACCEPTANCE OF SUPPLIES|26||||||||||||||||||||||||||| WIDE AREA WORKFLOW PAYMENT INSTRUCTIONS (DEC 2018)|16|x||x|x|x|x|x|x|||x|||||| NAVY USE OF ABILITYONE SUPPORT CONTRACTOR - RELEASE OF OFFEROR INFORMATION (3-18))|1|| EQUAL OPPORTUNITY (SEP 2016)|2||| EQUAL OPPORTUNITY FOR VETERANS (JUN 2020)|4||||| BUY AMERICAN --FREE TRADE AGREEMENTS--BALANCE OF PAYMENTS PROGRAM - BASIC(DEVIATION 2020-O0019) (MAR 2022))|3|||| ESTIMATE OF PERCENTAGE OF RECOVERED MATERIAL CONTENT FOR EPA DESIGNATED ITEMS (MAY 2008))|1|| ALTERNATE A, ANN…	333998	99		Unknown pre-award; historical award retained only as answer key when mapped	Commercial product candidate	Mixed controls		Archive review required	Direct notice/resource lookup required	Yes — 5 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	Probable mandatory-source conflict	Exact product/NSN review required	Pass / no automatic exclusion detected	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	0	60	Strikeout	Gate 5 — mandatory source	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 5 version(s): 611c714be96a4f3baa188de08a3defab; ef9ca1bd7a914d12b51bddbf6c2e7678; 1cde44a3108b4dae9a85e2c0c8c0cb65; a0f5b79e1e9d481aaae324eea700df7e; 8078ffac55ea488caa21ef9cd1b0d8fe. Outcome did not control selection.	69931
HOS01-023	cb7a438b8379476dbdcb24a80cd47e3f	N0010424QFD91	https://sam.gov/workspace/contract/opp/cb7a438b8379476dbdcb24a80cd47e3f/view	Solicitation	2024-07-23	2024-08-22	DEPT OF DEFENSE	DEPT OF THE NAVY	NAVSUP WEAPON SYSTEMS SUPPORT MECH	VALVE,BALL	CONTACT INFORMATION|4|N743.5|TBD|7176053229|JOEL.J.CURTIS.CIV@US.NAVY.MIL| ITEM UNIQUE IDENTIFICATION AND VALUATION (JAN 2023)|19|||||||||||||||||||| HIGHER-LEVEL CONTRACT QUALITY REQUIREMENT (NAVICP REVIEW FEB 1991)(FEB 1999)|1|See specification sections C and E.| INSPECTION OF SUPPLIES--FIXED-PRICE (AUG 1996)|2||| GENERAL INFORMATION-FOB-DESTINATION|1|B| REPAIR DELIVERY (FIRM FIXED PRICE)|1|365| WIDE AREA WORKFLOW PAYMENT INSTRUCTIONS (JAN 2023)|16|Stand-Alone Receiving Report-Certifications Combo-Receiving Report & Invoice-Material |NA|TBD|N00104|TBD|N39040-Certifications, S4306A-Material |N50286|TBD|133.2|NA|NA|NAN39040-Certifications|NA|NA|SEE DD 1423 |PORT_PTNH_WAWF_NOTIFICATION@NAVY.…	332919	4820		Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	MRO tools and commercial hardware		Archive review required	Direct notice/resource lookup required	Yes — 2 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	Probable mandatory-source conflict	Exact product/NSN review required	Hazardous chemical	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	0	0	Strikeout	Gate 5 — mandatory source	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 2 version(s): 66c9487b4b464d778f673061e6e81d3a; cb7a438b8379476dbdcb24a80cd47e3f. Outcome did not control selection.	65860
HOS01-024	65fb0f3fbfd24794837e563041900070	N0010423QFB36	https://sam.gov/workspace/contract/opp/65fb0f3fbfd24794837e563041900070/view	Solicitation	2023-03-14	2023-04-10	DEPT OF DEFENSE	DEPT OF THE NAVY	NAVSUP WEAPON SYSTEMS SUPPORT MECH	59--PENETRATOR,HULL	CONTACT INFORMATION|4|N743.45|WVS|717-605-3353|sylvia.sentz@navy.mil| ITEM UNIQUE IDENTIFICATION AND VALUATION (JAN 2023)|19|||||||||||||||||||| HIGHER-LEVEL CONTRACT QUALITY REQUIREMENT (NAVICP REVIEW FEB 1991)(FEB 1999)|1|See specification sections C and E| INSPECTION OF SUPPLIES--FIXED-PRICE (AUG 1996)|2||| INSPECTION AND ACCEPTANCE - SHORT VERSION|8|x||x|||||| TIME OF DELIVERY (JUNE 1997)|20|0001|4|365 days|||||||||||||||||| GENERAL INFORMATION-FOB-DESTINATION|1|B| WIDE AREA WORKFLOW PAYMENT INSTRUCTIONS (JAN 2023)|16|Stand-Alone Receiving Report - Certifications Combo-Receiving Report & Invoice - Material|n/a|tbd|N00104|tbd|N39040 - Certifications, S4306A - Material|N50286|tbd|133.2|n/…	335931	5935		Unknown pre-award; historical award retained only as answer key when mapped	Commercial product candidate	Mixed controls		Archive review required	Direct notice/resource lookup required	Yes — 2 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	Probable mandatory-source conflict	Exact product/NSN review required	Pass / no automatic exclusion detected	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	0	60	Strikeout	Gate 5 — mandatory source	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 2 version(s): ab91268cf99b442fa981bb6642ce36cc; 65fb0f3fbfd24794837e563041900070. Outcome did not control selection.	69532
HOS01-025	ed7cc4c564df483fb14c753d4835c202	W912P623Q0016	https://sam.gov/workspace/contract/opp/ed7cc4c564df483fb14c753d4835c202/view	Combined Synopsis/Solicitation	2023-08-16	2023-08-25	DEPT OF DEFENSE	DEPT OF THE ARMY	W072 ENDIST CHICAGO	BARGE AND TOW SERVICES FOR SAFETY TESTING AT THE CHICAGO SANITARY AND SHIP CANAL (CSSC) FISH BARRIERS, WILL COUNTY, ILLINOIS	************AMENDMENT 0001 Posted***************** THERE IS A FORTHCOMING AMENDMENT THAT WILL BE POSTED TODAY TO EXTEND THE DUE DATE UNTIL FRIDAY, AUGUST 25, 2023 AT 9:00AM CT. THE SCOPE AND PRICE BREAKOUT SCHEDULE HAVE BEEN REVISED AS WELL This is a combined Synopsis/Solicitation Notice for commercial items issued pursuant to FAR Subpart 12. Under this notice, the U.S. Army Corps of Engineers, Chicago District (USACE) is issuing a Request for Quotations (RFQ) for: BARGE AND TOW SERVICES FOR SAFETY TESTING AT THE CHICAGO SANITARY AND SHIP CANAL (CSSC) FISH BARRIERS, WILL COUNTY, ILLINOIS. Competition for this acquisition is FULL AND OPEN, UNRESTRICTED TO BUSINESS SIZE. AN OFFEROR MUST HAVE …	483211	1990		Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	Mixed controls	Romeoville, IL, USA	Romeoville, IL, USA	Direct notice/resource lookup required	Yes — 4 notice version(s)	Unknown — archive retrieval required	Mapped from award index	https://sam.gov/workspace/contract/opp/e6c558f4e7554fccbffa41ed76885776/view	Illinois & Michigan Oil LLC Joliet IL USA	74488.00	Award Notice	No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Vehicle, weapons, aircraft, training-system, or defense-platform product	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	90	0	Strikeout	Gate 6 — product/service exclusion	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 4 version(s): 6270751d2bbc4ece982239ca9b4d22c4; 9a0c224183e744889419c62a68ea7f9e; dcb2734553864ae0897094f844040e35; ed7cc4c564df483fb14c753d4835c202. Outcome did not control selection.	68430
HOS01-026	289b13d823584dc1a618efcb43b6b838	W912P623B0015	https://sam.gov/workspace/contract/opp/289b13d823584dc1a618efcb43b6b838/view	Solicitation	2023-10-18	2023-11-28	DEPT OF DEFENSE	DEPT OF THE ARMY	W072 ENDIST CHICAGO	CITY OF PORTAGE SEWER INCEPTOR REHABILITATION, PHASE 2 - SECTION 219, PORTAGE, PORTER COUNTY, INDIANA (USACE ACQUISITION)	EFFECTIVE NOVEMBER 28, 2023: The government has attached the Bid Opening Results (please refer to the"Attachments" Section of this Notice). **************************************************************************************************************************************************** EFFECTIVE NOVEMBER 21, 2023: The government has posted Amendment No. 0003 hereunder this Notice (please refer to the Attachments Section). ****************************************************************************************************************************************************** EFFECTIVE NOVEMBER 20, 2023: The government has posted Amendment No. 0002 hereunder this Notice (please refer to the Att…	237110	Y1ND	Total Small Business Set-Aside (FAR 19.5)	Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	Mixed controls	Portage, IN, USA	Portage, IN, USA	Direct notice/resource lookup required	Yes — 8 notice version(s)	Unknown — archive retrieval required	Mapped from award index	https://sam.gov/workspace/contract/opp/3e3196462b564c5a8b9b9dfe0dd8848d/view	Grimmer Construction Inc Highland IN USA	2420827.00	Award Notice	No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Service PSC / field-performance exposure	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	90	0	Strikeout	Gate 6 — product/service exclusion	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 8 version(s): 04ab1234e2b3431b8b539fab6e7badf1; 5942cfcf3f554f03929803cfbf06b3cc; 10d205dcd500439db6859d9823cab31b; e7682e8c45084b4784c3c295509a52a0; a89b53dca9c141fb92324a870a97ba55; 925f6701055b46f38f929bbbc8b2eac9; 87d10a161eaf4076ad805a7b66b92db9; …	67806
HOS01-027	e1031d25b555410aa54a95d0e32b4637	47QMCA21R0013	https://sam.gov/workspace/contract/opp/e1031d25b555410aa54a95d0e32b4637/view	Solicitation	2022-06-30	2021-09-29	GENERAL SERVICES ADMINISTRATION	FEDERAL ACQUISITION SERVICE	GSA/FAS AUTOMOTIVE CENTER	2022 Transit Bus Program	UPDATE October 29, 2024:- SPECIAL NOTICE ON STATUS OF SOLICITATION (October 29, 2024): Solicitation 47QMCA21R0013 remains open beyond the initial deadline of November 15, 2021 (Amendment 0005), for Standard Item 888E only. Item 888E is an open line item that allows an offeror to propose any commercially-made motor vehicle incorporating emerging technology, for which there is an existing Federal Standard vehicle category and which conforms to all GSA standards and regulations that pertain to the Government�s motor vehicle requirements. Please see attached 888E SOP For New Offeror and 888E Proposal Template for more information. UPDATE: August 19, 2024 - AutoBid will open Tuesday, August 20, …	336211	2310		Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	Mixed controls	USA	USA	Direct notice/resource lookup required	Yes — 14 notice version(s)	Unknown — archive retrieval required	Mapped from award index	https://sam.gov/workspace/contract/opp/d828f8bb72884ecab2add79f4035f593/view			Justification	No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Vehicle, weapons, aircraft, training-system, or defense-platform product	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	90	0	Strikeout	Gate 6 — product/service exclusion	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 14 version(s): 3603fabbdbc546d4809a8b1c17c26283; 407df10f17c84bac8811ba5b746bb1d5; 8e4cd2bfc2bf4ced835f9691538544e8; 789ca9df4476440b8494c1798c997d05; 450a6bdd882a4178804814c1d604b29a; 12be00c5ff3646f4b405193293bf14a0; b87bbdaa63274978bc9da094ff7b8605;…	64960
HOS01-028	0bc5121477ab4b458272877609ea111e	W912P624B0017	https://sam.gov/workspace/contract/opp/0bc5121477ab4b458272877609ea111e/view	Solicitation	2024-10-16	2024-11-25	DEPT OF DEFENSE	DEPT OF THE ARMY	W072 ENDIST CHICAGO	VILLAGE OF MATTESON WATER MAIN REPLACEMENT PHASE II, MATTESON, COOK COUNTY, ILLINOIS (USACE ACQUISITION)	EFFECTIVE NOVEMBER 25, 2024: The government has attached the Bid Opening Results (please refer to the Attachments Section of this Notice). **************************************************************************************************************************************************** VIRTUAL BID OPENING INFORMATION: THE VIRTUAL BID OPENING WILL BE CONDUCTED ON NOVEMBER 25, 2024 AT 2:00 P.M. (CENTRAL TIME). AT THE DESIGNATED DAY AND TIME, PLEASE JOIN BY: MEETING LINK: https://usace1.webex.com/usace1/j.php?MTID=m6801cdd50632ecfa5f1fca96a4b5f475 Meeting number (access code): 2821 710 9840 Meeting Password: KYcnxhb$534 OR, JOIN BY PHONE: 1-844-800-2712 US Toll Free 1-669-234-1177 US Toll Acc…	237110	Y1PZ	Total Small Business Set-Aside (FAR 19.5)	Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	Mixed controls		Archive review required	Direct notice/resource lookup required	Yes — 4 notice version(s)	Unknown — archive retrieval required	Mapped from award index	https://sam.gov/workspace/contract/opp/0bc5121477ab4b458272877609ea111e/view			Solicitation	No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Service PSC / field-performance exposure	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	90	0	Strikeout	Gate 6 — product/service exclusion	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 4 version(s): d626287c0398499f8d6fcd976ddeee13; fef0379b7efe432ca4c63cc6ef6abe38; b112fa18e97145c9a6066af1db8c7c80; 0bc5121477ab4b458272877609ea111e. Outcome did not control selection.	64739
HOS01-029	4b204071bf17431cb02d20843b67b3a7	W912P624B0016	https://sam.gov/workspace/contract/opp/4b204071bf17431cb02d20843b67b3a7/view	Solicitation	2024-08-19	2024-09-19	DEPT OF DEFENSE	DEPT OF THE ARMY	W072 ENDIST CHICAGO	SOLICITATION W912P624B0016 VILLAGE OF EAST HAZEL CREST STORMWATER IMPROVEMENTS, EAST HAZEL CREST, COOK COUNTY, ILLINOIS (USACE ACQUISITION)	VIRTUAL BID OPENING INFORMATION: THE VIRTUAL BID OPENING WILL BE CONDUCTED ON SEPTEMBER 19, 2024 AT 1:00 P.M. (CENTRAL TIME). AT THE DESIGNATED DAY AND TIME, PLEASE JOIN BY: MEETING LINK: https://usace1.webex.com/usace1/j.php?MTID=m1ee4740fe1bc0ee92fb1a1d74e986f25 Meeting number (access code): 2829 578 2082 Meeting Password: hUJw2VPh@43 OR, JOIN BY PHONE: 1-844-800-2712 US Toll Free 1-669-234-1177 US Toll Access code: 2829 578 2082 Conf ID: press the # sign ***************************************************************************************************************************************************** EFFECTIVE SEPTEMBER 16, 2024: The government has posted Amendment No. 0002 hereunder th…	237110	Y1PZ	Total Small Business Set-Aside (FAR 19.5)	Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	Mixed controls		Archive review required	Direct notice/resource lookup required	Yes — 4 notice version(s)	Unknown — archive retrieval required	Mapped from award index	https://sam.gov/workspace/contract/opp/4b204071bf17431cb02d20843b67b3a7/view			Solicitation	No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Service PSC / field-performance exposure	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	90	0	Strikeout	Gate 6 — product/service exclusion	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 4 version(s): 67cabfec26594f99a0b9fa5b2a00ce85; b5b32ef39cee4effb6b0f4bbb59a42b4; 6a3761fa707a47659ee8506a8357e450; 4b204071bf17431cb02d20843b67b3a7. Outcome did not control selection.	65435
HOS01-030	4ef5ad3d1eb049ad9d93fe98d6fa2022	W912P624Q0024	https://sam.gov/workspace/contract/opp/4ef5ad3d1eb049ad9d93fe98d6fa2022/view	Combined Synopsis/Solicitation	2024-05-14	2024-05-28	DEPT OF DEFENSE	DEPT OF THE ARMY	W072 ENDIST CHICAGO	UNDER BRIDGE INSPECTION ACCESS EQUIPMENT RENTAL	The time in PIEE and SAM are corrected to match the time in the solicitation form. This is a combined Synopsis/Solicitation Notice for commercial items issued pursuant to FAR Subpart 12. Under this notice, the U.S. Army Corps of Engineers, Chicago District (USACE) is issuing a Request for Quotations (RFQ) for: UNDER BRIDGE INSPECTION ACCESS EQUIPMENT RENTAL; LOCKPORT LOCK BRIDGE INSPECTION, LOCKPORT, WILL COUNTY, ILLINOIS, AND J EDWARD ROUSH LAKE BRIDGE INSPECTION, HUNTINGTON, HUNTINGTON COUNTY, INDIANA. Competition for this acquisition is RESTRICTED TO SMALL BUSINESSES. AN OFFEROR MUST HAVE AN ACTIVE REGISTRATION IN THE SYSTEM FORAWARD MANAGEMENT WHEN PLACING AN OFFER/QUOTATION PACKAGE FOR…	532490	W038		Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	Mixed controls		Archive review required	Direct notice/resource lookup required	Yes — 2 notice version(s)	Unknown — archive retrieval required	Mapped from award index	https://sam.gov/workspace/contract/opp/4ef5ad3d1eb049ad9d93fe98d6fa2022/view			Combined Synopsis/Solicitation	No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Service PSC / field-performance exposure	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	90	0	Strikeout	Gate 6 — product/service exclusion	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 2 version(s): 5697137ca4694843a515ab72cadf781d; 4ef5ad3d1eb049ad9d93fe98d6fa2022. Outcome did not control selection.	66425
