HOS01-011	17ea0c84c0cd4002a33dd45ce36487a1	W912P623Q0026	https://sam.gov/workspace/contract/opp/17ea0c84c0cd4002a33dd45ce36487a1/view	Combined Synopsis/Solicitation	2023-09-25	2023-09-28	DEPT OF DEFENSE	DEPT OF THE ARMY	W072 ENDIST CHICAGO	FILL STONE, KEWAUNEE AND MILWAUKEE HARBORS	This is a combined Synopsis/Solicitation Notice for commercial items issued pursuant to FAR Subpart 12. Under this notice, the U. S. Army Corps of Engineers, Chicago District (USACE) is issuing a Request for Quotation (RFQ) for the acquisition of �FILL STONE, KEWAUNEE AND MILWAUKEE HARBORS.� COMPETITION FOR THIS ACQUISITION IS FULL AND OPEN, UNRESTRICTED TO BUSINESS SIZE. AN OFFEROR MUST BE HAVE AN ACTIVE REGISTRATION IN THE SYSTEM FOR AWARD MANAGEMENT WHEN PLACING AN OFFER/PROPOSAL PACKAGE FOR THIS ACQUISITION. REGISTRATION CAN BE COMPLETED FREE OF CHARGE AT www.sam.gov. The applicable Size Standard is North American Industry Classification System (NAICS) Code 327991, with a Small Business…	327991	5610		Unknown pre-award; historical award retained only as answer key when mapped	Commercial product candidate	Mixed controls	USA	USA	Direct notice/resource lookup required	No separate version identified in extract	Unknown — archive retrieval required	Mapped from award index	https://sam.gov/workspace/contract/opp/377db29c42814bc2be10a0abb7320df3/view	Midwest Construction Company Nebraska City NE USA	292500.00	Award Notice	No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Pass / no automatic exclusion detected	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	90	45	Single	Passes Gates 1-6 preliminarily; Gate 7 archive review pending	REVIEW — archive reconstruction	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 1 version(s): 17ea0c84c0cd4002a33dd45ce36487a1. Outcome did not control selection.	68230
HOS01-012	ea7713e9c23b4836b7b1dbe2f5b3a91c	Solicitation_SPE2D224R0005	https://sam.gov/workspace/contract/opp/ea7713e9c23b4836b7b1dbe2f5b3a91c/view	Solicitation	2024-03-12	2024-05-02	DEPT OF DEFENSE	DEFENSE LOGISTICS AGENCY	DLA TROOP SUPPORT	Budesonide Inhalation Suspension	Budesonide Inhalation Suspension solicitation has been extended to May 2, 2024 03:00PM EDT.	325412	6505		Unknown pre-award; historical award retained only as answer key when mapped	Commercial product candidate	Mixed controls		Archive review required	Direct notice/resource lookup required	Yes — 10 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Pass / no automatic exclusion detected	Sparse metadata; high Gate 7 risk	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	90	45	Double	Passes Gates 1-6 preliminarily; Gate 7 archive review pending	REVIEW — archive reconstruction	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 10 version(s): 63b13da4a6f44dd38e6a8dbce1244db4; 488fe4e0991e4ba080fa503578a39d34; 5e98b44015244ec7bbd103f21d6f727c; 179e247d10374916830ffa04210de483; ea7713e9c23b4836b7b1dbe2f5b3a91c; 40eff1e588f548f1b81e7b3b7c15fc10; 4739a3dccff4414eb950bad3b588cad9;…	66719
HOS01-013	9a4e503e9a004b9d8d8ff5fa78d4121f	36C24124Q0860_2	https://sam.gov/workspace/contract/opp/9a4e503e9a004b9d8d8ff5fa78d4121f/view	Combined Synopsis/Solicitation	2024-09-19	2024-09-25	VETERANS AFFAIRS, DEPARTMENT OF	VETERANS AFFAIRS, DEPARTMENT OF	241-NETWORK CONTRACT OFFICE 01 (36C241)	Amendment to Midmark Chairs / W& H Hand peices	Midmark chairs and W& H Handpeices- see attachments with item lists Please note this requirment will also need to include installation - this is being amended to this solicitation	339113	6530	Total Small Business Set-Aside (FAR 19.5)	Unknown pre-award; historical award retained only as answer key when mapped	Commercial product candidate	Mixed controls	USA	USA	Direct notice/resource lookup required	Yes — 4 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Pass / no automatic exclusion detected	Sparse metadata; high Gate 7 risk	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	90	45	Double	Passes Gates 1-6 preliminarily; Gate 7 archive review pending	REVIEW — archive reconstruction	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 4 version(s): 6272a28c4c494c4e8b5f6244c687a964; 0ad42f0a670e41438ec88b3470e97a2c; d76e56c5b45948b0afff389059a0086a; 9a4e503e9a004b9d8d8ff5fa78d4121f. Outcome did not control selection.	65351
HOS01-014	0cc043f173784535ae5a4484460b5924	N66604-24-Q-0150	https://sam.gov/workspace/contract/opp/0cc043f173784535ae5a4484460b5924/view	Combined Synopsis/Solicitation	2024-01-12	2024-01-26	DEPT OF DEFENSE	DEPT OF THE NAVY	NUWC DIV NEWPORT	Linear Motion System	See attached RFQ. The purpose of Amendment 0001 is to extend the solicitation closing date from 1/19/2024 @ 2:00pm to 1/26/2024 @ 2:00pm.	332322	9515		Unknown pre-award; historical award retained only as answer key when mapped	Commercial product candidate	Mixed controls	Newport, RI, 02841, USA	Newport, RI, 02841, USA	Direct notice/resource lookup required	Yes — 2 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Pass / no automatic exclusion detected	Sparse metadata; high Gate 7 risk	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	90	45	Double	Passes Gates 1-6 preliminarily; Gate 7 archive review pending	REVIEW — archive reconstruction	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 2 version(s): a24cccdd74034d2cb1094c26fd86083c; 0cc043f173784535ae5a4484460b5924. Outcome did not control selection.	67472
HOS01-015	394439d8db5c4db09f5bd18622639e27	N6247323R3203	https://sam.gov/workspace/contract/opp/394439d8db5c4db09f5bd18622639e27/view	Solicitation	2023-02-27	2023-03-29	DEPT OF DEFENSE	DEPT OF THE NAVY	NAVFACSYSCOM SOUTHWEST	B234 Electrical Upgrades ? High Voltage Switch and Transformers at Naval Support Activity Monterey (NSAM), Monterey, CA	CLIN 0001 (FFP): This is a Firm Fixed-Price (FFP) Design-Build (DB) construction project involving partial demolition and replacement of three (3) unit substations (T6, T7, and T9), medium voltage conductors, and low voltage associated components between the transformers and switchboards in Building 234 at Naval Support Activity Monterey (NSAM) ? Halligan Hall. CLIN 0002 (FFP): Optional Item One (1) - Install a spare 5-inch conduit from Manhole 8 to the new Building 234 substation. CLIN 0003 (FFP): Optional Item Two (2) - Provide and install new distribution switchboards, including circuit breakers.	237130	Z2CZ	Women-Owned Small Business	Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	Mixed controls		Archive review required	Direct notice/resource lookup required	Yes — 8 notice version(s)	Unknown — archive retrieval required	Mapped from award index	https://sam.gov/workspace/contract/opp/8b4193e3b97f4d1aa166d476a82fd730/view			Solicitation	No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	No — socioeconomic set-aside not held by GGG	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Service PSC / field-performance exposure	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	0	0	Strikeout	Gate 4 — GGG eligibility	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 8 version(s): 394439d8db5c4db09f5bd18622639e27; 72f4914087b64afe99949059602d7f48; a1eec76a4e014fe8b55c5defde628d7b; f2b87a65f1274fd494ca2ef09cf3db00; 8323d82426834458801f13629d02eaa4; a3e047ac2d0c4b4cb48e361347fb7969; 8e1952a01d674ad9a0a10fb84ce4c893; …	69782
HOS01-016	7a73d8bcbffb4f3181658975cad9e6e7	47QTCB22R0007	https://sam.gov/workspace/contract/opp/7a73d8bcbffb4f3181658975cad9e6e7/view	Solicitation	2022-09-15	2022-11-18	GENERAL SERVICES ADMINISTRATION	FEDERAL ACQUISITION SERVICE	GSA/FAS ITC OFFICE OF ACQUISITION OPERATIONS, INTERAGENCY CONTRACTS	Polaris GWAC Service-Disabled Veteran-Owned Small Business Pool	November 25, 2024 - Amendment 0007 of the Polaris GWAC Service-Disabled Veteran-Owned Small Business (SDVOSB) Pool has been posted in the Polaris Submission Portal (https://polaris.app.cloud.gov). This amendment is to incorporate an updated FAR provision. Offerors should login to the Polaris Submission Portal and review for necessary action. This amendment is only applicable to existing offerors with an active proposal that was submitted for the Polaris GWAC Service-Disabled Veteran-Owned Small Business (SDVOSB) Pool by November 18, 2022. ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++ September 03, 2024 - GSA is completing the evaluation process a…	541512	DA01	Service-Disabled Veteran-Owned Small Business Set Aside	Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	Mixed controls		Archive review required	Direct notice/resource lookup required	Yes — 18 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	No — socioeconomic set-aside not held by GGG	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Service PSC / field-performance exposure	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	0	0	Strikeout	Gate 4 — GGG eligibility	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 18 version(s): 3dc5dd210cd349d9992c3f71a8a35c35; aa77739683454443a0c6b68c28c91ae6; a9bdfad810ab492293f4d67b9c445fd9; 4c5c71cf6b19471e9cddbc14b398c7d7; 628922ff652941ae86f61b42f26f353c; 4f64baf3786a4d919224a5ef821d6daf; 32ed93004fd5422e9c57a89084db48a3;…	64742
HOS01-017	7a48cfd540ea4a2688a12df184984611	QSE--36C78624Q50037	https://sam.gov/workspace/contract/opp/7a48cfd540ea4a2688a12df184984611/view	Combined Synopsis/Solicitation	2023-12-19	2024-01-18	VETERANS AFFAIRS, DEPARTMENT OF	VETERANS AFFAIRS, DEPARTMENT OF	NATIONAL CEMETERY ADMIN (36C786)	The Calverton National Cemetery is in need of RedMax 5lb spools, part number 588049609. -- 3710	The Calverton National Cemetery is in need of RedMax 5lb spools, part number 588049609. -- 3710 NEW CONTRACT FOR TRIMMER LINE BASE YEAR PLUS 4 OPTION YEARS AT CALVERTON NATONAL CEMETERY, IGCE, SOW, BNJ JUSTIFICATION, EVALUATION CRITERIA, CONTRACT SECURITY CHECKLIST, MARKET RESEARCH, & COR CERTIFICATES - SUBJECT TO THE AVAILABILITY OF FY24 FUNDING The Calverton National Cemetery is in need of RedMax, 0.095 string line, 5lb spools, part number: 588049609.	333515	3710	Service-Disabled Veteran-Owned Small Business Set Aside	Unknown pre-award; historical award retained only as answer key when mapped	Commercial product candidate	Mixed controls	Calverton, NY, 11933, USA	Calverton, NY, 11933, USA	Direct notice/resource lookup required	Yes — 2 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	No — socioeconomic set-aside not held by GGG	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Pass / no automatic exclusion detected	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	0	60	Strikeout	Gate 4 — GGG eligibility	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 2 version(s): 7a48cfd540ea4a2688a12df184984611; 7d2a240bbbbe4719b793ee4e6018317c. Outcome did not control selection.	67671
HOS01-018	cde9ef995c814e5a8c7a7287e4922427	FA8212-23-R-0003	https://sam.gov/workspace/contract/opp/cde9ef995c814e5a8c7a7287e4922427/view	Solicitation	2023-02-15	2023-04-10	DEPT OF DEFENSE	DEPT OF THE AIR FORCE	FA8212  AFSC OLH PZABA	A-10 SPARES COVER, ACCESS, F52, PN 160D215001-37 (5 YR IDIQ)	SEE ATTACHMENT AMENDMENT 0001: THE PURPOSE OF THE AMENDMENT IS TO CORRECT THE REQUIRED DELIVERY TIME CLIN 0001AB, PRODUCTION ARTICLE (1EA) AS DENOTED BELOW; 1. CLIN 0001AB, correct the required delivery time FROM: 210 Weeks TO: 210 Calendar Days ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.	336413	1560	Women-Owned Small Business	Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	Mixed controls		Archive review required	Direct notice/resource lookup required	Yes — 3 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	No — socioeconomic set-aside not held by GGG	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Vehicle, weapons, aircraft, training-system, or defense-platform product	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	0	0	Strikeout	Gate 4 — GGG eligibility	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 3 version(s): cda72112df89486eb5207ddbae2484a7; cde9ef995c814e5a8c7a7287e4922427; 181eb8805ded4906a233852087240343. Outcome did not control selection.	69526
HOS01-019	3483d81c750445f0837192da2ef985be	47QTCB22R0003	https://sam.gov/workspace/contract/opp/3483d81c750445f0837192da2ef985be/view	Solicitation	2022-03-25	2022-10-07	GENERAL SERVICES ADMINISTRATION	FEDERAL ACQUISITION SERVICE	GSA/FAS ITC OFFICE OF ACQUISITION OPERATIONS, INTERAGENCY CONTRACTS	Polaris GWAC Women Owned Small Business Pool	November 25, 2024 - Amendment 0012 of the Polaris Women-Owned Small Business (WOSB) Pool has been posted in the Polaris Submission Portal (https://polaris.app.cloud.gov). This amendment is to incorporate an updated FAR provision. Offerors should login to the Polaris Submission Portal and review for necessary action. This amendment is only applicable to existing offerors with an active proposal that was submitted for the Polaris GWAC WOSB Pool by October 7, 2022. --- September 03, 2024 - GSA is completing the evaluation process of awards for the Polaris GWAC Women-Owned Small Business (WOSB) Pool. Contract awards for the WOSB Pool are now planned to be announced in FY25 with the HUBZone and …	541512	DA01	Women-Owned Small Business	Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	Mixed controls		Archive review required	Direct notice/resource lookup required	Yes — 27 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	No — socioeconomic set-aside not held by GGG	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Service PSC / field-performance exposure	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	0	0	Strikeout	Gate 4 — GGG eligibility	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 27 version(s): ee234f96a1354fb998a26570c62254c0; ee9b50ae808d482989d5ca5dd5032eb0; be5c97fcc92c4d249df6eb13a6317d28; 1b232b539d484257ba9a5a53044b7b81; 6e2c51515ed34790bcce0e297cd8f993; 8ea0c416ff9d4c57adbf1fdcd1beec14; 7db98bbb930c4b58b47525de46ec6565;…	64741
HOS01-020	5c01af64d5ac474c95c03e3cd14383e4	N0038324QM368	https://sam.gov/workspace/contract/opp/5c01af64d5ac474c95c03e3cd14383e4/view	Solicitation	2024-10-11	2024-12-20	DEPT OF DEFENSE	DEPT OF THE NAVY	NAVSUP WEAPON SYSTEMS SUPPORT	48--VALVE,REGULATING,FL	CONTACT INFORMATION|4|N761.37|WRA|215-697-2983|Ethan.Stein@navy.mil| ITEM UNIQUE IDENTIFICATION AND VALUATION (JAN 2023)|19|||||||||||||||||||| HIGHER-LEVEL CONTRACT QUALITY REQUIREMENT|8|X|||||||| INSPECTION AND ACCEPTANCE OF SUPPLIES|26|X|||||||||||||||||||||||||| WIDE AREA WORKFLOW PAYMENT INSTRUCTIONS (JAN 2023)|16|INVOICE AND RECEIVING REPORT COMBO TYPE|SOURCE/SOURCE|TBD|N00383|TBD|TBD|SEE SCEHDULE|TBD|||TBD|||||| NAVY USE OF ABILITYONE SUPPORT CONTRACTOR - RELEASE OF OFFEROR INFORMATION (3-18))|1|| EQUAL OPPORTUNITY (SEP 2016)|2||| WARRANTY OF SUPPLIES OF A NONCOMPLEX NATURE (JUN 2003)|6|12 MONTHS |60 DAYS AFTER DISCOVERY OF DEFECT||||| EQUAL OPPORTUITY FOR WORKERS WITH DISABILITIES (…	332919	4820		Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	MRO tools and commercial hardware		Archive review required	Direct notice/resource lookup required	Yes — 2 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	Probable mandatory-source conflict	Exact product/NSN review required	Restricted NSN / approved-source risk	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	0	0	Strikeout	Gate 5 — mandatory source	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 2 version(s): 4537a5c2116c4231beecac7267421f95; 5c01af64d5ac474c95c03e3cd14383e4. Outcome did not control selection.	64784
