HOS01-041	6be47146b6384f5ea2ece9ee26636395	12363N23Q4035	https://sam.gov/workspace/contract/opp/6be47146b6384f5ea2ece9ee26636395/view	Combined Synopsis/Solicitation	2023-02-14	2023-03-15	Federal agency — see source			Historical solicitation HOS01-041 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	237310	Y1LB	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Rejected by kickoff control	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	0	Strikeout	Gate 6	NO-BID / CONTROL	Moderate	Exact original metadata retained in source index; outcome did not control selection.	68071
HOS01-042	7f8cc487fcbc40f3847a34bab679343e	19AQMDOSCrystalGlassware	https://sam.gov/workspace/contract/opp/7f8cc487fcbc40f3847a34bab679343e/view	Solicitation	2024-02-05	2024-02-16	Federal agency — see source			Historical solicitation HOS01-042 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	327212	9340	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Pass preliminary product gate	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	60	Double	Preliminary survivor	REVIEW — archive reconstruction	Moderate	Exact original metadata retained in source index; outcome did not control selection.	67281
HOS01-043	c335dcd0fe074be9a9aa4a2e22ddf7c1	80AFRC23R0001	https://sam.gov/workspace/contract/opp/c335dcd0fe074be9a9aa4a2e22ddf7c1/view	Solicitation	2023-07-19	2023-11-01	Federal agency — see source			Historical solicitation HOS01-043 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	481212	V126	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Rejected by kickoff control	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	0	Strikeout	Gate 6	NO-BID / CONTROL	Moderate	Exact original metadata retained in source index; outcome did not control selection.	65693
HOS01-044	b1b65ba2dd57436bb0f3fd865be959e3	12569R23Q7000	https://sam.gov/workspace/contract/opp/b1b65ba2dd57436bb0f3fd865be959e3/view	Solicitation	2023-03-01	2024-02-29	Federal agency — see source			Historical solicitation HOS01-044 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	115310	F003	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Rejected by kickoff control	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	0	Strikeout	Gate 6	NO-BID / CONTROL	Moderate	Exact original metadata retained in source index; outcome did not control selection.	67477
HOS01-045	e21949e0ea414e93a0b115705e2fce01	W912BU22B0010	https://sam.gov/workspace/contract/opp/e21949e0ea414e93a0b115705e2fce01/view	Solicitation	2022-09-28	2022-11-02	Federal agency — see source			Historical solicitation HOS01-045 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	237990	Y1KF	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Rejected by kickoff control	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	0	Strikeout	Gate 6	NO-BID / CONTROL	Moderate	Exact original metadata retained in source index; outcome did not control selection.	69801
HOS01-046	45b16e83d4c84228a437e062f29e5f96	N6660423Q0420	https://sam.gov/workspace/contract/opp/45b16e83d4c84228a437e062f29e5f96/view	Solicitation	2023-05-31	2023-08-04	Federal agency — see source			Historical solicitation HOS01-046 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	541330	5998	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Pass preliminary product gate	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	60	Double	Preliminary survivor	REVIEW — archive reconstruction	Moderate	Exact original metadata retained in source index; outcome did not control selection.	68587
HOS01-047	6f7a4f5f3541497cb18c894ed7fd1974	12024B23Q7001	https://sam.gov/workspace/contract/opp/6f7a4f5f3541497cb18c894ed7fd1974/view	Solicitation	2023-03-20	2024-04-08	Federal agency — see source			Historical solicitation HOS01-047 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	621910	F003	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Rejected by kickoff control	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	0	Strikeout	Gate 6	NO-BID / CONTROL	Moderate	Exact original metadata retained in source index; outcome did not control selection.	67079
HOS01-048	948e8bc8a6594aca84b36407943e6a35	W912P622B0006	https://sam.gov/workspace/contract/opp/948e8bc8a6594aca84b36407943e6a35/view	Solicitation	2023-02-01	2023-03-03	Federal agency — see source			Historical solicitation HOS01-048 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	237110	Y1ND	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Rejected by kickoff control	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	0	Strikeout	Gate 6	NO-BID / CONTROL	Moderate	Exact original metadata retained in source index; outcome did not control selection.	69589
HOS01-049	32053ca75e0f45099bb96a8365c5d53e	12024B23Q7003	https://sam.gov/workspace/contract/opp/32053ca75e0f45099bb96a8365c5d53e/view	Solicitation	2023-03-08	2024-02-21	Federal agency — see source			Historical solicitation HOS01-049 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	812320	F003	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Rejected by kickoff control	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	0	Strikeout	Gate 6	NO-BID / CONTROL	Moderate	Exact original metadata retained in source index; outcome did not control selection.	67454
HOS01-050	631e759640594e37b64e3aba6e1af96b	W912P622B0004	https://sam.gov/workspace/contract/opp/631e759640594e37b64e3aba6e1af96b/view	Solicitation	2022-12-22	2023-01-25	Federal agency — see source			Historical solicitation HOS01-050 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	237110	Y1ND	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Rejected by kickoff control	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	0	Strikeout	Gate 6	NO-BID / CONTROL	Moderate	Exact original metadata retained in source index; outcome did not control selection.	70077
