HOS01-031	3b3c3d91381b4a1cb204fd1819054bb0	W912P624Q0025	https://sam.gov/workspace/contract/opp/3b3c3d91381b4a1cb204fd1819054bb0/view	Combined Synopsis/Solicitation	2024-05-15	2024-05-30	Federal agency — see source			Historical solicitation HOS01-031 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	532490	W038	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Mapped from award index	https://sam.gov/workspace/contract/opp/3b3c3d91381b4a1cb204fd1819054bb0/view			Combined Synopsis/Solicitation	No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Rejected by kickoff control	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	0	Strikeout	Gate 6	NO-BID / CONTROL	Moderate	Exact original metadata retained in source index; outcome did not control selection.	66409
HOS01-032	96a703a8ac8b4cfe84dfb65ba39b83cf	W912P624B0009	https://sam.gov/workspace/contract/opp/96a703a8ac8b4cfe84dfb65ba39b83cf/view	Solicitation	2024-06-26	2024-07-26	Federal agency — see source			Historical solicitation HOS01-032 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	237110	Y1PZ	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Mapped from award index	https://sam.gov/workspace/contract/opp/96a703a8ac8b4cfe84dfb65ba39b83cf/view			Solicitation	No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Rejected by kickoff control	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	0	Strikeout	Gate 6	NO-BID / CONTROL	Moderate	Exact original metadata retained in source index; outcome did not control selection.	65873
HOS01-033	76f0f0970f234df2bdae4e94429a7011	N6134024R0013	https://sam.gov/workspace/contract/opp/76f0f0970f234df2bdae4e94429a7011/view	Solicitation	2024-02-09	2024-03-18	Federal agency — see source			Historical solicitation HOS01-033 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	611512	U099	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Mapped from award index	https://sam.gov/workspace/contract/opp/76f0f0970f234df2bdae4e94429a7011/view			Solicitation	No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Rejected by kickoff control	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	0	Strikeout	Gate 6	NO-BID / CONTROL	Moderate	Exact original metadata retained in source index; outcome did not control selection.	67061
HOS01-034	4f36e4d1aa1c4b3ebeb6ca5923cf4be7	W912P624B0008	https://sam.gov/workspace/contract/opp/4f36e4d1aa1c4b3ebeb6ca5923cf4be7/view	Solicitation	2024-05-02	2024-06-11	Federal agency — see source			Historical solicitation HOS01-034 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	237110	Y1PZ	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Mapped from award index	https://sam.gov/workspace/contract/opp/4f36e4d1aa1c4b3ebeb6ca5923cf4be7/view			Solicitation	No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Rejected by kickoff control	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	0	Strikeout	Gate 6	NO-BID / CONTROL	Moderate	Exact original metadata retained in source index; outcome did not control selection.	66283
HOS01-035	4cf9654f9ca64e679cec50c969055599	W912P624R0009	https://sam.gov/workspace/contract/opp/4cf9654f9ca64e679cec50c969055599/view	Combined Synopsis/Solicitation	2024-06-18	2024-07-12	Federal agency — see source			Historical solicitation HOS01-035 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	561210	S216	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Mapped from award index	https://sam.gov/workspace/contract/opp/4cf9654f9ca64e679cec50c969055599/view			Combined Synopsis/Solicitation	No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Rejected by kickoff control	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	0	Strikeout	Gate 6	NO-BID / CONTROL	Moderate	Exact original metadata retained in source index; outcome did not control selection.	66013
HOS01-036	66696d5b141f46c5b5a507f0aaac7c7e	N4008024R2401	https://sam.gov/workspace/contract/opp/66696d5b141f46c5b5a507f0aaac7c7e/view	Solicitation	2024-09-30	2024-11-22	Federal agency — see source			Historical solicitation HOS01-036 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	238160	Y1JZ	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Mapped from award index	https://sam.gov/workspace/contract/opp/bb98279dcd644ba093e4cc803c651e43/view			Solicitation	No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Rejected by kickoff control	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	0	Strikeout	Gate 6	NO-BID / CONTROL	Moderate	Exact original metadata retained in source index; outcome did not control selection.	64791
HOS01-037	be20996621714ec8a581d12255d2f742	W912P624B0007	https://sam.gov/workspace/contract/opp/be20996621714ec8a581d12255d2f742/view	Solicitation	2024-05-01	2024-06-12	Federal agency — see source			Historical solicitation HOS01-037 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	237110	Y1PZ	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Mapped from award index	https://sam.gov/workspace/contract/opp/be20996621714ec8a581d12255d2f742/view			Solicitation	No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Rejected by kickoff control	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	0	Strikeout	Gate 6	NO-BID / CONTROL	Moderate	Exact original metadata retained in source index; outcome did not control selection.	66270
HOS01-038	95b48c149b3b428d953d46ee51695cc3	W912HQ24R0015	https://sam.gov/workspace/contract/opp/95b48c149b3b428d953d46ee51695cc3/view	Solicitation	2024-10-08	2024-11-22	Federal agency — see source			Historical solicitation HOS01-038 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	541618	R499	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Rejected by kickoff control	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	0	Strikeout	Gate 6	NO-BID / CONTROL	Moderate	Exact original metadata retained in source index; outcome did not control selection.	64811
HOS01-039	2716a22155e3433b96b4613a3141a126	FA8212-23-R-0004	https://sam.gov/workspace/contract/opp/2716a22155e3433b96b4613a3141a126/view	Solicitation	2023-05-01	2023-06-28	Federal agency — see source			Historical solicitation HOS01-039 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	334419	1270	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Rejected by kickoff control	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	0	Strikeout	Gate 6	NO-BID / CONTROL	Moderate	Exact original metadata retained in source index; outcome did not control selection.	69033
HOS01-040	fb9b7df1672449efab9fa5351b335b01	W912P624Q0033	https://sam.gov/workspace/contract/opp/fb9b7df1672449efab9fa5351b335b01/view	Combined Synopsis/Solicitation	2024-09-03	2024-09-18	Federal agency — see source			Historical solicitation HOS01-040 — exact title in source index	Closed historical solicitation. Full source record retained in the source index and archive.	561621	5810	See source	Unknown pre-award; historical award retained only as answer key when mapped	Historical product/service control	Mixed controls	See source	See source	Archive review required	See source version history	Archive review required	Mapped from award index	https://sam.gov/workspace/contract/opp/fb9b7df1672449efab9fa5351b335b01/view			Combined Synopsis/Solicitation	No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes	Review	Potentially yes	Review	Review	Pass preliminary product gate	Archive review required	Unknown	Not modeled	Unclassified	Not modeled	90	60	Double	Preliminary survivor	REVIEW — archive reconstruction	Moderate	Exact original metadata retained in source index; outcome did not control selection.	65425
